Date,Open,High,Low,Close
1-February-1999,,,,1000.00
2-February-1999,,,,987.35
3-February-1999,,,,980.43
4-February-1999,,,,964.40
5-February-1999,,,,931.74
8-February-1999,,,,898.67
9-February-1999,,,,887.77
10-February-1999,,,,878.12
11-February-1999,,,,905.45
12-February-1999,,,,902.82
15-February-1999,,,,883.25
16-February-1999,,,,893.25
17-February-1999,,,,896.47
18-February-1999,,,,890.84
19-February-1999,,,,880.35
22-February-1999,,,,870.96
23-February-1999,,,,858.55
24-February-1999,,,,863.26
25-February-1999,,,,896.26
26-February-1999,,,,904.25
27-February-1999,,,,885.22
1-March-1999,,,,853.00
3-March-1999,,,,846.15
4-March-1999,,,,835.71
5-March-1999,,,,843.65
8-March-1999,,,,898.65
9-March-1999,,,,916.89
10-March-1999,,,,944.10
11-March-1999,,,,909.89
12-March-1999,,,,895.19
15-March-1999,,,,873.81
16-March-1999,,,,860.76
17-March-1999,,,,867.15
19-March-1999,,,,850.74
22-March-1999,,,,867.13
23-March-1999,,,,882.38
24-March-1999,,,,878.22
26-March-1999,,,,864.34
30-March-1999,,,,865.85
31-March-1999,,,,888.16
1-April-1999,,,,871.52
5-April-1999,,,,850.97
6-April-1999,,,,849.41
7-April-1999,,,,846.39
8-April-1999,,,,836.53
9-April-1999,,,,819.80
12-April-1999,,,,808.46
13-April-1999,,,,800.32
15-April-1999,,,,780.89
16-April-1999,,,,815.61
17-April-1999,,,,772.91
19-April-1999,,,,782.67
20-April-1999,,,,783.28
21-April-1999,,,,788.68
22-April-1999,,,,777.86
23-April-1999,,,,772.49
26-April-1999,,,,753.14
28-April-1999,,,,771.00
29-April-1999,,,,802.73
3-May-1999,,,,816.89
4-May-1999,,,,837.70
5-May-1999,,,,844.01
6-May-1999,,,,832.85
7-May-1999,,,,844.27
10-May-1999,,,,861.83
11-May-1999,,,,868.34
12-May-1999,,,,873.13
13-May-1999,,,,892.34
14-May-1999,,,,933.11
17-May-1999,,,,982.54
18-May-1999,,,,1040.42
19-May-1999,,,,1106.17
20-May-1999,,,,1073.21
21-May-1999,,,,1021.57
24-May-1999,,,,1014.58
25-May-1999,,,,1023.21
26-May-1999,,,,1020.88
27-May-1999,,,,1009.10
28-May-1999,,,,958.24
31-May-1999,,,,1012.16
1-June-1999,,,,985.90
2-June-1999,,,,997.38
3-June-1999,,,,1021.47
4-June-1999,,,,1022.58
7-June-1999,,,,1037.96
8-June-1999,,,,1042.89
9-June-1999,,,,1034.86
10-June-1999,,,,1038.20
11-June-1999,,,,1009.43
14-June-1999,,,,1020.66
15-June-1999,,,,1022.34
16-June-1999,,,,1060.12
17-June-1999,,,,1110.02
18-June-1999,,,,1119.27
21-June-1999,,,,1146.77
22-June-1999,,,,1143.06
23-June-1999,,,,1149.82
24-June-1999,,,,1127.94
25-June-1999,,,,1121.00
28-June-1999,,,,1116.35
29-June-1999,,,,1107.45
30-June-1999,,,,1115.22
1-July-1999,,,,1107.53
2-July-1999,,,,1102.37
5-July-1999,,,,1128.53
6-July-1999,,,,1138.64
7-July-1999,,,,1138.97
8-July-1999,,,,1130.32
9-July-1999,,,,1125.37
12-July-1999,,,,1192.85
13-July-1999,,,,1225.95
14-July-1999,,,,1258.71
15-July-1999,,,,1262.78
16-July-1999,,,,1266.07
19-July-1999,,,,1274.38
20-July-1999,,,,1237.01
21-July-1999,,,,1236.12
22-July-1999,,,,1233.53
23-July-1999,,,,1213.23
26-July-1999,,,,1200.91
27-July-1999,,,,1154.25
28-July-1999,,,,1165.25
29-July-1999,,,,1160.53
30-July-1999,,,,1153.21
2-August-1999,,,,1105.35
3-August-1999,,,,1091.66
4-August-1999,,,,1111.16
5-August-1999,,,,1102.61
6-August-1999,,,,1087.57
9-August-1999,,,,1098.58
10-August-1999,,,,1093.10
11-August-1999,,,,1084.14
12-August-1999,,,,1077.01
13-August-1999,,,,1073.06
16-August-1999,,,,1121.65
17-August-1999,,,,1148.39
18-August-1999,,,,1198.45
19-August-1999,,,,1188.92
20-August-1999,,,,1214.32
23-August-1999,,,,1260.98
24-August-1999,,,,1276.82
25-August-1999,,,,1243.03
26-August-1999,,,,1265.88
27-August-1999,,,,1259.43
30-August-1999,,,,1259.02
31-August-1999,,,,1246.65
1-September-1999,,,,1241.89
2-September-1999,,,,1202.44
3-September-1999,,,,1210.97
6-September-1999,,,,1243.03
7-September-1999,,,,1287.84
8-September-1999,,,,1342.06
9-September-1999,,,,1387.10
10-September-1999,,,,1412.01
14-September-1999,,,,1376.47
15-September-1999,,,,1341.22
16-September-1999,,,,1317.78
17-September-1999,,,,1308.13
20-September-1999,,,,1313.26
21-September-1999,,,,1296.04
22-September-1999,,,,1311.20
23-September-1999,,,,1324.21
24-September-1999,,,,1308.94
27-September-1999,,,,1301.76
28-September-1999,,,,1296.92
29-September-1999,,,,1313.42
30-September-1999,,,,1314.22
1-October-1999,,,,1301.59
4-October-1999,,,,1300.88
5-October-1999,,,,1308.34
6-October-1999,,,,1349.87
7-October-1999,,,,1401.40
8-October-1999,,,,1400.17
11-October-1999,,,,1409.16
12-October-1999,,,,1440.05
13-October-1999,,,,1439.83
14-October-1999,,,,1449.28
15-October-1999,,,,1406.88
18-October-1999,,,,1449.44
20-October-1999,,,,1497.96
21-October-1999,,,,1485.19
22-October-1999,,,,1492.94
25-October-1999,,,,1542.25
26-October-1999,,,,1523.74
27-October-1999,,,,1486.85
28-October-1999,,,,1427.19
29-October-1999,,,,1336.07
1-November-1999,,,,1307.40
2-November-1999,,,,1392.03
3-November-1999,,,,1413.20
4-November-1999,,,,1410.24
5-November-1999,,,,1422.36
7-November-1999,,,,1448.01
9-November-1999,,,,1438.83
11-November-1999,,,,1417.96
12-November-1999,,,,1418.41
15-November-1999,,,,1417.29
16-November-1999,,,,1404.28
17-November-1999,,,,1394.93
18-November-1999,,,,1396.81
19-November-1999,,,,1403.39
22-November-1999,,,,1444.20
24-November-1999,,,,1503.53
25-November-1999,,,,1548.16
26-November-1999,,,,1559.95
29-November-1999,,,,1514.95
30-November-1999,,,,1484.00
1-December-1999,,,,1469.99
2-December-1999,,,,1476.81
3-December-1999,,,,1478.59
6-December-1999,,,,1487.13
7-December-1999,,,,1488.28
8-December-1999,,,,1481.98
9-December-1999,,,,1475.10
10-December-1999,,,,1469.43
13-December-1999,,,,1452.99
14-December-1999,,,,1472.58
15-December-1999,,,,1467.27
16-December-1999,,,,1472.52
17-December-1999,,,,1466.00
20-December-1999,,,,1504.99
21-December-1999,,,,1505.10
22-December-1999,,,,1491.46
23-December-1999,,,,1465.60
24-December-1999,,,,1427.06
27-December-1999,,,,1420.39
28-December-1999,,,,1418.49
29-December-1999,,,,1417.00
30-December-1999,,,,1418.08
3-January-2000,-,-,-,1487.62
4-January-2000,-,-,-,1481.58
5-January-2000,-,-,-,1494.55
6-January-2000,-,-,-,1484.88
7-January-2000,-,-,-,1459.60
10-January-2000,-,-,-,1482.32
11-January-2000,-,-,-,1413.76
12-January-2000,-,-,-,1445.75
13-January-2000,-,-,-,1421.13
14-January-2000,-,-,-,1411.99
17-January-2000,-,-,-,1415.10
18-January-2000,-,-,-,1412.62
19-January-2000,-,-,-,1388.40
20-January-2000,-,-,-,1392.47
21-January-2000,-,-,-,1392.05
24-January-2000,-,-,-,1385.84
25-January-2000,-,-,-,1363.91
27-January-2000,-,-,-,1397.84
28-January-2000,-,-,-,1390.89
31-January-2000,-,-,-,1392.79
1-February-2000,-,-,-,1416.16
